File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
uart.o,18.283476%,1913,2011,932,0,981,1030
thread.o,10.322087%,1080,0,1080,0,0,0
ipc.o,7.665106%,802,0,802,0,0,0
timer.o,5.313963%,556,12,556,0,0,12
scheduler.o,5.103699%,534,275,534,0,0,275
stm32f10x_usart.o,4.797859%,502,0,502,0,0,0
kservice.o,4.702284%,492,0,236,256,0,0
stm32f10x_dma.o,3.555386%,372,0,372,0,0,0
at_function.o,3.268661%,342,596,2,0,340,256
stm32f10x_gpio.o,3.115741%,326,0,326,0,0,0
board.o,3.096626%,324,0,324,0,0,0
stm32f10x_rcc.o,2.676097%,280,0,260,20,0,0
system_stm32f10x.o,2.599637%,272,4,268,0,4,0
startup_stm32f10x_md.o,2.599637%,272,1536,36,236,0,1536
mc_w.l,2.580522%,270,0,270,0,0,0
object.o,2.427602%,254,112,142,0,112,0
at_task.o,2.351142%,246,3288,246,0,0,3288
context_rvds.o,2.332027%,244,0,244,0,0,0
components.o,2.265125%,237,1152,216,21,0,1152
gpio.o,2.159992%,226,396,226,0,0,396
tim.o,1.538756%,161,1,156,5,0,1
misc.o,1.089554%,114,0,114,0,0,0
cpuport.o,0.917519%,96,16,96,0,0,16
__dczerorl2.o,0.821944%,86,0,86,0,0,0
idle.o,0.745484%,78,256,78,0,0,256
clock.o,0.669024%,70,4,70,0,0,4
irq.o,0.535219%,56,1,56,0,0,1
init.o,0.458759%,48,0,48,0,0,0
memseta.o,0.344070%,36,0,36,0,0,0
memcpya.o,0.344070%,36,0,36,0,0,0
handlers.o,0.286725%,30,0,30,0,0,0
stm32f10x_tim.o,0.286725%,30,0,30,0,0,0
sys.o,0.210265%,22,0,18,4,0,0
strlen.o,0.133805%,14,0,14,0,0,0
stm32f10x_it.o,0.114690%,12,0,12,0,0,0
main.o,0.095575%,10,0,10,0,0,0
entry9a.o,0.076460%,8,0,8,0,0,0
entry2.o,0.076460%,8,0,8,0,0,0
entry5.o,0.038230%,4,0,4,0,0,0
