File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
at_task.o,27.749533%,4312,324,300,24,0,4312
startup_stm32f10x_md.o,19.769611%,3072,272,36,236,0,3072
oled.o,9.472939%,1472,2048,1948,100,0,1472
uart.o,9.215522%,1432,2190,1590,0,600,832
user_flash.o,8.198726%,1274,446,384,60,2,1272
components.o,7.413604%,1152,282,266,16,0,1152
at_function.o,5.946329%,924,4187,3146,565,476,448
gpio.o,2.548427%,396,450,442,8,0,396
scheduler.o,1.769741%,275,726,726,0,0,275
sfud_port.o,1.724693%,268,847,750,85,12,256
idle.o,1.647468%,256,92,86,6,0,256
ef_env.o,1.647468%,256,7728,7232,496,0,256
ef_port.o,0.823734%,128,380,372,8,0,128
sfud.o,0.746509%,116,7480,5492,1872,116,0
object.o,0.720767%,112,464,352,0,112,0
cjson.o,0.128708%,20,4434,4366,56,12,8
mc_w.l,0.102967%,16,5143,4994,133,16,0
cpuport.o,0.102967%,16,198,198,0,0,16
timer.o,0.077225%,12,1146,1146,0,0,12
mvars.o,0.051483%,8,8,0,0,8,0
stdout.o,0.025742%,4,4,0,0,4,0
errno.o,0.025742%,4,12,8,0,4,0
system_stm32f10x.o,0.025742%,4,404,400,0,4,0
mb.o,0.025742%,4,0,0,0,0,4
clock.o,0.025742%,4,170,170,0,0,4
irq.o,0.006435%,1,68,68,0,0,1
easyflash.o,0.006435%,1,317,164,153,0,1
