File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,11.866088%,5026,52,4930,88,8,44
cjson.o,9.750685%,4130,20,4062,56,12,8
at_function.o,8.721314%,3694,5529,2256,650,788,4741
kservice.o,8.133440%,3445,256,3026,419,0,256
printfa.o,5.670979%,2402,0,2402,0,0,0
segger_rtt_printf.o,5.286146%,2239,0,2216,23,0,0
mf_w.l,3.786949%,1604,0,1604,0,0,0
uart.o,3.635849%,1540,2844,1370,70,100,2744
thread.o,3.196714%,1354,0,1354,0,0,0
timer.o,2.705638%,1146,12,1146,0,0,12
ipc.o,2.167343%,918,0,918,0,0,0
scanf_fp.o,2.072906%,878,0,878,0,0,0
stm32f10x_usart.o,2.063462%,874,0,874,0,0,0
segger_rtt.o,2.016243%,854,4280,828,26,0,4280
stm32f10x_rcc.o,1.850977%,784,0,764,20,0,0
cpuport.o,1.794315%,760,16,484,276,0,16
stm32f10x_dma.o,1.789593%,758,0,758,0,0,0
scheduler.o,1.714043%,726,275,726,0,0,275
board.o,1.666824%,706,0,706,0,0,0
myrtc.o,1.617244%,685,400,538,131,16,384
object.o,1.095476%,464,112,352,0,112,0
system_stm32f10x.o,0.953820%,404,4,400,0,4,0
stm32f10x_gpio.o,0.920767%,390,0,390,0,0,0
mpu6050.o,0.920767%,390,33,390,0,0,33
mallocr.o,0.849939%,360,0,360,0,0,0
startup_stm32f103xe.o,0.802720%,340,6144,36,304,0,6144
dadd.o,0.788554%,334,0,334,0,0,0
gpio.o,0.703560%,298,4,248,50,0,4
components.o,0.665785%,282,640,266,16,0,640
stm32f10x_i2c.o,0.594957%,252,0,252,0,0,0
context_rvds.o,0.576070%,244,0,244,0,0,0
stm32f10x_rtc.o,0.552460%,234,0,234,0,0,0
dmul.o,0.538294%,228,0,228,0,0,0
ddiv.o,0.524129%,222,0,222,0,0,0
misc.o,0.458022%,194,0,194,0,0,0
depilogue.o,0.439135%,186,0,186,0,0,0
mktime.o,0.424969%,180,0,168,12,0,0
clock.o,0.401360%,170,4,170,0,0,4
strtod.o,0.396638%,168,0,168,0,0,0
localtime_i.o,0.358863%,152,0,140,12,0,0
tim.o,0.349419%,148,0,148,0,0,0
main.o,0.314005%,133,4,94,39,0,4
stm32f10x_tim.o,0.264425%,112,0,112,0,0,0
fepilogue.o,0.259703%,110,0,110,0,0,0
ctype_c.o,0.245538%,104,0,40,64,0,0
fmul.o,0.236094%,100,0,100,0,0,0
stm32f10x_bkp.o,0.236094%,100,0,100,0,0,0
uldiv.o,0.231372%,98,0,98,0,0,0
idle.o,0.217207%,92,256,86,6,0,256
__dczerorl2.o,0.203041%,86,0,86,0,0,0
irq.o,0.160544%,68,1,68,0,0,1
memmovea.o,0.151100%,64,0,64,0,0,0
_sgetc.o,0.151100%,64,0,64,0,0,0
dfixi.o,0.146378%,62,0,62,0,0,0
d2f.o,0.132213%,56,0,56,0,0,0
dcmplt.o,0.127491%,54,0,54,0,0,0
dcmpgt.o,0.127491%,54,0,54,0,0,0
sys.o,0.122769%,52,0,48,4,0,0
ffixi.o,0.118047%,50,0,50,0,0,0
dfixul.o,0.113325%,48,0,48,0,0,0
cdrcmple.o,0.113325%,48,0,48,0,0,0
init.o,0.113325%,48,0,48,0,0,0
uidiv.o,0.103881%,44,0,44,0,0,0
strstr.o,0.084994%,36,0,36,0,0,0
memseta.o,0.084994%,36,0,36,0,0,0
llsshr.o,0.084994%,36,0,36,0,0,0
llushr.o,0.075550%,32,0,32,0,0,0
m_ws.l,0.070828%,30,0,30,0,0,0
strncmp.o,0.070828%,30,0,30,0,0,0
llshl.o,0.070828%,30,0,30,0,0,0
handlers.o,0.070828%,30,0,30,0,0,0
strtod.o,0.070828%,30,0,30,0,0,0
fcmpge.o,0.066106%,28,0,28,0,0,0
strcmp.o,0.066106%,28,0,28,0,0,0
dfltul.o,0.056663%,24,0,24,0,0,0
strncpy.o,0.056663%,24,0,24,0,0,0
stm32f10x_pwr.o,0.051941%,22,0,22,0,0,0
strchr.o,0.047219%,20,0,20,0,0,0
stm32f10x_it.o,0.042497%,18,0,18,0,0,0
porttimer.o,0.037775%,16,0,16,0,0,0
strlen.o,0.033053%,14,0,14,0,0,0
tolower.o,0.028331%,12,0,12,0,0,0
localtime_w.o,0.028331%,12,44,12,0,0,44
isspace_c.o,0.023609%,10,0,10,0,0,0
mvars.o,0.018888%,8,8,0,0,8,0
entry9a.o,0.018888%,8,0,8,0,0,0
entry2.o,0.018888%,8,0,8,0,0,0
entry5.o,0.009444%,4,0,4,0,0,0
