File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_stm32f103xe.o,29.338173%,6144,340,36,304,0,6144
at_function.o,26.401489%,5529,3694,2256,650,788,4741
segger_rtt.o,20.437399%,4280,854,828,26,0,4280
uart.o,13.580365%,2844,1540,1370,70,100,2744
components.o,3.056060%,640,282,266,16,0,640
myrtc.o,1.910037%,400,685,538,131,16,384
scheduler.o,1.313151%,275,726,726,0,0,275
kservice.o,1.222424%,256,3445,3026,419,0,256
idle.o,1.222424%,256,92,86,6,0,256
object.o,0.534810%,112,464,352,0,112,0
mc_w.l,0.248305%,52,5026,4930,88,8,44
localtime_w.o,0.210104%,44,12,12,0,0,44
mpu6050.o,0.157578%,33,390,390,0,0,33
cjson.o,0.095502%,20,4130,4062,56,12,8
cpuport.o,0.076401%,16,760,484,276,0,16
timer.o,0.057301%,12,1146,1146,0,0,12
mvars.o,0.038201%,8,8,0,0,8,0
system_stm32f10x.o,0.019100%,4,404,400,0,4,0
mb.o,0.019100%,4,0,0,0,0,4
main.o,0.019100%,4,133,94,39,0,4
gpio.o,0.019100%,4,298,248,50,0,4
clock.o,0.019100%,4,170,170,0,0,4
irq.o,0.004775%,1,68,68,0,0,1
